Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000068;;;4 - CADEIRA CADEIRA DE ENCOSTO RECLINADO (CORDINHA);;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000069;;;4 - CADEIRA CADEIRA DE ENCOSTO RECLINADO (CORDINHA);;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000070;;;57 - LAVADORA / TANQUE ELÉTRICO MAQUINA DE LAVADORA MULLER 4 KG/ TANQUINHO;;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000071;;;18 - MICROFONE MICROFONE VOKAL;;;PAHUKA COM. DE DISCOS LTDA;;;;BR 09-0038;1101;;847;;SALAO DE CULTO;;;;02/04/2007;;130,00;121,44;;;;;8,56;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000072;;;18 - MICROFONE MICROFONE LE SOM;;;G. L. B IND. E COM. DE COMPONE;;;;BR 09-0038;1101;;354;;SALAO DE CULTO;;;;01/08/2007;;80,00;75,24;;;;;4,76;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000074;;;18 - MICROFONE MICROFONE JWL;;;PAHUKA COMERCIO DE DISCOS LTDA;;;;BR 09-0038;1101;;2865;;SALAO DE CULTO;;;;28/01/2012;;90,00;84,29;;;;;5,71;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000075;;;13 - BEBEDOURO D'ÁGUA / PURIFICADOR DE ÁGUA  BEBEDOURO DE INOX DE 50LITROS 110V;;;MUNDO DOS FILTROS LTDA;;;;BR 09-0038;1101;;1195;;SANITARIO MASCULINO;;;;11/06/2012;;1.300,00;1.217,17;;;;;82,83;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000076;;;18 - MICROFONE MICROFONE WADMAN;;;PAHUKA COMERCIO DE DISCOS LTDA;;;;BR 09-0038;1101;;7255;;SALAO DE CULTO;;;;28/02/2014;;80,00;75,24;;;;;4,76;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000077;;;14 - VENTILADOR VENTILADOR DE PAREDE VENTISILVA;;;"ELETROMAR M
VEIS E ELETRODOM
S";;;;BR 09-0038;1101;;222681;;SALAO DE CULTO;;;;30/01/2016;;189,00;177,48;;;;;11,52;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000079;;;21 - ÓRGÃOS E INSTRUMENTOS ORGAO ACORDES C/ BANQUETA;;;NC;;;;BR 09-0038;1102;;0;;SALAO DE CULTO;;;;31/12/2006;;2.000,00;1.933,39;;;;;66,61;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000080;;;50 - TERRENO ;;;COLONIZADORA SINOP S/A;;;;BR 09-0038;1108;;0;;TEMPLO;;;;31/12/2016;;10.000,00;0,00;;;;;10.000,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000081;;;55 - ESCADA ESCADA DUPLA ESTICAVEL 13 DEGRAUS BOTAFOGO ESC 0622;;;SUPERTEC COMERCIO E IMPORTACAO LTDA;;;;BR 09-0038;1101;;131141;;ALMOXARIFADO;;;;11/05/2017;;580,00;492,66;;;;;87,34;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000082;;;68 - EQUIPAMENTO DE CLIMATIZAÇÃO CONDENSADOR KOCP 55 FC 11 X R410 A 220V;;;KOMGROUP INDUSTRIAL LTDA;;;;BR 09-0038;1101;;228501;;SALAO DE CULTO;;;;20/07/2017;;3.862,41;3.219,00;;;;;643,41;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000083;;;68 - EQUIPAMENTO DE CLIMATIZAÇÃO EVAPORADOR KOP 55FC 11X R410A;;;KOMGROUP INDUSTRIAL LTDA;;;;BR 09-0038;1101;;228501;;SALAO DE CULTO;;;;20/07/2017;;1.287,47;1.073,00;;;;;214,47;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000084;;;68 - EQUIPAMENTO DE CLIMATIZAÇÃO ELGIN CORTINA DE AR COMPACT 1.200 220V MONO/45C AD3012002;;;MPS DISTRIBUIDORA MERCANTIL LTDA;;;;BR 09-0038;1101;;243701;;SALAO DE CULTO;;;;07/03/2018;;525,26;402,96;;;;;122,30;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000085;;;68 - EQUIPAMENTO DE CLIMATIZAÇÃO ELGIN CORTINA DE AR COMPACT 1.200 220V MONO/45C AD3012002;;;MPS DISTRIBUIDORA MERCANTIL LTDA;;;;BR 09-0038;1101;;243701;;SALAO DE CULTO;;;;07/03/2018;;525,26;402,96;;;;;122,30;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000086;;;15 - RELÓGIO DE PAREDE RELOGIO DE PAREDE HERWEG QUARTZ ;;;J. E R. OTICA E RELOJOARIA LIDER LTDA;;;;BR 09-0038;1101;;48;;SALAO DE CULTO;;;;01/03/2019;;170,00;113,60;;;;;56,40;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000087;;;15 - RELÓGIO DE PAREDE RELOGIO DE PAREDE HERWEG QUATZ;;;J. E R. OTICA E RELOJOARIA LIDER LTDA;;;;BR 09-0038;1101;;48;;SALAO DE CULTO;;;;01/03/2019;;170,00;113,60;;;;;56,40;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000088;;;18 - MICROFONE MICROFONE SEM FIO DYLAN;;;DANIEL SCHENFERT ME;;;;BR 09-0038;1101;;1040;;SALAO DE CULTO;;;;13/10/2018;;79,00;56,10;;;;;22,90;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
